name,selling_price_idr,year,seller_type,owner,km_driven
Royal Enfield Classic 350,34508250,2019,Individual,1st owner,350
TVS Scooty Zest 110,10845450,2018,Individual,1st owner,380
Royal Enfield Classic 350,34508250,2020,Individual,1st owner,500
Royal Enfield Classic Gunmetal Grey,37466100,2020,Individual,1st owner,500
Bajaj Avenger 220,14197680,2018,Individual,1st owner,500
Activa 3g,8873550,2018,Individual,1st owner,500
Vespa SXL 149,19324620,2019,Individual,1st owner,1000
Hero Splendor Plus i3s,12817350,2019,Individual,1st owner,1000
Hero Passion Pro,8873550,2018,Individual,1st owner,1000
Yamaha YZF R3,71974350,2019,Individual,1st owner,1127
Royal Enfield Interceptor 650,51269400,2019,Individual,1st owner,1200
Yamaha YZF R15 [2011-2018],9859500,2014,Individual,1st owner,1200
Bajaj Dominar 400,28592550,2019,Individual,1st owner,1200
Bajaj Pulsar 180F,19719000,2019,Individual,1st owner,1300
Bajaj Avenger 220,17747100,2019,Individual,1st owner,1300
Activa 4g,7887600,2019,Individual,1st owner,1300
Yamaha YZF R15 V3,33522300,2019,Individual,1st owner,1400
UM Renegade Mojave,33522300,2019,Individual,1st owner,1400
Royal Enfield Continental GT 650,58959810,2019,Individual,1st owner,1500
Royal Enfield Thunderbird 500X,36480150,2018,Individual,1st owner,1500
Yamaha Fascino 110,13606110,2019,Individual,1st owner,1600
Jawa 42,36480150,2020,Individual,1st owner,1700
Bajaj Avenger Cruise 220,18733050,2018,Individual,1st owner,1800
Suzuki Access 125,4929750,2010,Individual,1st owner,1900
Mahindra Mojo XT300,32536350,2017,Individual,1st owner,1933
Jawa Standard,35494200,2019,Individual,1st owner,2000
Benelli TNT 25,31550400,2017,Individual,1st owner,2009
Royal Enfield Classic 350,28592550,2017,Individual,1st owner,2200
Suzuki Access 125,7887600,2015,Individual,1st owner,2300
KTM RC 390,53241300,2019,Individual,1st owner,2380
Hero Glamour 125,10845450,2017,Individual,1st owner,2500
Yamaha FZ25,29578500,2019,Individual,1st owner,2500
BMW G310GS,59157000,2018,Individual,1st owner,2500
Royal Enfield Thunderbird 350X,28592550,2019,Individual,1st owner,2700
Royal Enfield Classic 350,26620650,2017,Individual,1st owner,2700
Bajaj V15,8873550,2015,Individual,1st owner,2700
Suzuki GSX S750,149864400,2019,Individual,1st owner,2800
Royal Enfield Classic Signals,38452050,2018,Individual,1st owner,2845
Hero Xpulse 200T,20704950,2019,Individual,1st owner,2900
Bajaj CT 100,8281980,2019,Individual,1st owner,2900
Honda Activa 5G,13803300,2019,Individual,1st owner,3000
Honda Activa 3G,7887600,2015,Individual,1st owner,3000
Hero Splendor Plus i3s,13803300,2019,Individual,1st owner,3000
Bajaj Avenger Street 160,16761150,2019,Individual,1st owner,3000
TVS Apache RTR 200 4V,24648750,2019,Individual,1st owner,3000
Royal Enfield Thunder 500,34508250,2018,Individual,1st owner,3000
Honda CB Hornet 160R,15775200,2019,Individual,1st owner,3000
Honda Activa 5G,12817350,2019,Individual,1st owner,3025
Hero Xtreme 200R,17155530,2019,Individual,1st owner,3200
Royal Enfield Thunderbird 350X,31550400,2018,Individual,1st owner,3246
Honda Activa 5G,12225780,2019,Individual,1st owner,3500
Aprilia SR 125,14789250,2019,Individual,1st owner,3500
Royal Enfield Bullet 350 [2007-2011],17747100,2007,Individual,1st owner,3500
Yamaha Fazer FI V 2.0 [2016-2018],12817350,2018,Individual,1st owner,3500
KTM 125 Duke,25634700,2019,Individual,1st owner,3500
Honda CBR-250R,19719000,2011,Individual,2nd owner,3500
Bajaj Avenger 220,14789250,2019,Individual,1st owner,3500
Royal Enfield Classic 350,27606600,2016,Individual,1st owner,3654
Royal Enfield Thunderbird 350X,32536350,2019,Individual,1st owner,3700
KTM RC 390,35494200,2017,Individual,1st owner,3775
Yamaha Cygnus Ray ZR,11042640,2019,Individual,1st owner,3900
Vespa LX 125,9859500,2015,Individual,1st owner,3909
Suzuki Access 125,11831400,2017,Individual,1st owner,4000
Yamaha FZ25,25634700,2017,Individual,1st owner,4000
Bajaj Pulsar 220F,21690900,2019,Individual,1st owner,4000
Royal Enfield Bullet 350 [2007-2011],11831400,2001,Individual,2nd owner,4000
KTM RC200,32536350,2019,Individual,1st owner,4000
Honda Activa 4G,8873550,2019,Individual,1st owner,4000
Royal Enfield Thunderbird 350,23662800,2017,Individual,1st owner,4050
KTM 200 Duke,23662800,2017,Individual,1st owner,4100
Yamaha Fazer 25,28592550,2018,Individual,2nd owner,4100
Royal Enfield Classic 350,26620650,2019,Individual,1st owner,4100
Honda Activa 4G,9465120,2019,Individual,1st owner,4300
Yamaha FZ25,28592550,2019,Individual,1st owner,4500
Honda Activa 3G,6310080,2015,Individual,1st owner,4500
Royal Enfield Thunderbird 350,26620650,2016,Individual,1st owner,4500
KTM 390 Duke,34508250,2017,Individual,1st owner,4600
Yamaha Rx,13803300,2000,Individual,3rd owner,5000
TVS Apache RR310,39438000,2019,Individual,1st owner,5000
Bajaj Pulsar AS150,9859500,2015,Individual,1st owner,5000
Bajaj Pulsar 150,5915700,2012,Individual,2nd owner,5000
Bajaj Avenger Street 160,15775200,2019,Individual,1st owner,5000
Royal Enfield Classic Chrome,36480150,2015,Individual,2nd owner,5000
Yamaha FZ S V 2.0,15380820,2019,Individual,1st owner,5000
Bajaj Pulsar 150,12817350,2017,Individual,1st owner,5000
Honda Activa 3G,9859500,2016,Individual,1st owner,5326
Royal Enfield Thunder 500,20704950,2015,Individual,1st owner,5400
Bajaj Dominar 400 [2018],29578500,2018,Individual,1st owner,5475
Royal Enfield Interceptor 650,56199150,2019,Individual,1st owner,5500
Hero Glamour 125,7493220,2016,Dealer,1st owner,5500
Honda CBR-250R,39438000,2019,Individual,1st owner,5500
Yamaha FZ S ,7887600,2014,Individual,1st owner,5500
Royal Enfield Thunderbird 350X,27606600,2018,Individual,1st owner,5505
Hero Karizma 2014,8873550,2014,Individual,1st owner,5555
Royal Enfield Classic 350,33522300,2018,Individual,1st owner,5600
Honda Dio,8873550,2017,Individual,1st owner,5650
Jawa Standard,31550400,2019,Individual,1st owner,5700
Bajaj Pulsar RS200,20704950,2018,Individual,1st owner,5700
Royal Enfield Classic Gunmetal Grey,35494200,2018,Individual,1st owner,5814
Hero HF Deluxe,11831400,2019,Individual,1st owner,6000
KTM 250 Duke,38452050,2019,Individual,1st owner,6000
Hero Maestro Edge,11437020,2018,Individual,1st owner,6000
Bajaj Discover 125,9859500,2018,Individual,1st owner,6000
Yamaha Fazer 25,23662800,2018,Individual,1st owner,6000
Hero Duet,7296030,2016,Individual,1st owner,6000
TVS Apache RTR 160 4V,20704950,2019,Individual,1st owner,6000
KTM RC 200,36480150,2019,Individual,1st owner,6000
Honda Activa 3G,9859500,2016,Individual,1st owner,6000
KTM RC200,23662800,2018,Individual,1st owner,6000
Royal Enfield Bullet 350,20704950,2018,Individual,1st owner,6000
TVS Apache RTR 180,9859500,2013,Individual,1st owner,6000
Royal Enfield Classic Gunmetal Grey,26620650,2018,Individual,1st owner,6100
Royal Enfield Thunderbird 350X,31550400,2019,Individual,1st owner,6330
Bajaj Pulsar 220 Fi,12817350,2013,Individual,1st owner,6409
Bajaj Pulsar 220 DTS-i,12817350,2013,Individual,1st owner,6409
Honda Aviator,11239830,2018,Individual,1st owner,6465
Bajaj Pulsar 150,13803300,2019,Individual,1st owner,6500
Harley-Davidson Street 750,65072700,2014,Individual,4th owner,6500
Aprilia SR 125,12817350,2018,Individual,1st owner,6500
Bajaj Pulsar 220F,23662800,2019,Individual,1st owner,6500
Honda Activa 5G,11831400,2018,Individual,1st owner,6502
Hero Passion Pro,7887600,2017,Individual,1st owner,6700
Royal Enfield Thunder 350,20704950,2013,Individual,1st owner,6900
UM Renegade Commando,31550400,2018,Individual,1st owner,7000
Royal Enfield Bullet 350,24254370,2016,Individual,1st owner,7000
Mahindra Rodeo,3943800,2013,Individual,1st owner,7000
Royal Enfield Classic 350,29578500,2017,Individual,1st owner,7000
Suzuki Access 125,13803300,2018,Individual,1st owner,7000
Suzuki Gixxer SF Fi,19719000,2019,Individual,1st owner,7000
Yamaha Fascino 110,10845450,2019,Individual,1st owner,7000
Honda Aviator,5915700,2014,Individual,1st owner,7000
Hero Passion XPro,8873550,2018,Individual,1st owner,7000
Honda CB Hornet 160R,13803300,2018,Individual,1st owner,7000
KTM 390 Duke ,22676850,2016,Individual,1st owner,7000
Bajaj Avenger 150,14789250,2018,Individual,1st owner,7000
Bajaj Pulsar NS160,16761150,2018,Individual,1st owner,7004
Honda Dream Yuga,9465120,2018,Individual,1st owner,7110
Royal Enfield Classic 350,23662800,2017,Individual,1st owner,7199
Bajaj Avenger Street 220,15775200,2016,Individual,1st owner,7200
Yamaha Fazer [2009-2016],7887600,2012,Individual,1st owner,7353
Hero Honda Glamour,5915700,2008,Individual,1st owner,7500
Royal Enfield Classic Stealth Black,31550400,2018,Individual,1st owner,7500
Hero Splendor Plus,12817350,2018,Individual,1st owner,7500
KTM 390 Duke,40423950,2018,Individual,1st owner,7500
Bajaj Dominar 400,39438000,2019,Individual,1st owner,7600
Honda Activa 3G,7887600,2015,Individual,1st owner,7672
Bajaj Pulsar NS200,16761150,2018,Individual,1st owner,7750
Bajaj Pulsar 180,14197680,2017,Dealer,1st owner,7850
Yamaha FZ S V 2.0,16761150,2018,Individual,1st owner,8000
Suzuki Let''s,6704460,2014,Individual,1st owner,8000
Bajaj Pulsar 150,15775200,2019,Individual,1st owner,8000
Bajaj Avenger Cruise 220,17155530,2018,Individual,1st owner,8000
Honda CB Hornet 160R,18733050,2019,Individual,1st owner,8000
Yamaha YZF R15 S,13803300,2016,Individual,1st owner,8000
Honda Dio,9859500,2016,Individual,1st owner,8000
TVS XL 100,5915700,2017,Individual,1st owner,8000
Yamaha Fazer ,9859500,2016,Individual,1st owner,8000
TVS Scooty Pep Plus,6901650,2012,Individual,1st owner,8150
Yamaha FZ25,17747100,2018,Individual,1st owner,8200
Royal Enfield Thunderbird 350X,29578500,2018,Individual,1st owner,8500
Hero Xpulse 200,19719000,2019,Individual,1st owner,8500
Hero Xpulse 200,19324620,2019,Individual,1st owner,8500
Hero Xpulse 200,17747100,2019,Individual,1st owner,8600
Hero Glamour 125,9859500,2017,Individual,1st owner,8600
Honda Shine,7887600,2011,Individual,1st owner,8600
Honda Dream Yuga ,9465120,2019,Individual,1st owner,8600
Royal Enfield Thunder 350,22676850,2018,Individual,1st owner,8700
Honda Dream Yuga,9267930,2019,Individual,1st owner,8800
Hero Glamour FI,14789250,2019,Individual,1st owner,8900
Honda CB Twister,5915700,2013,Individual,1st owner,9000
Yamaha FZ25,23662800,2017,Individual,1st owner,9000
Honda Activa 5G,10845450,2019,Individual,1st owner,9000
Royal Enfield Thunderbird 350,23662800,2017,Individual,2nd owner,9000
Royal Enfield Interceptor 650,53241300,2019,Individual,1st owner,9000
Bajaj V15,9859500,2017,Individual,1st owner,9000
TVS Scooty Zest 110,5915700,2017,Individual,1st owner,9432
Bajaj Pulsar 150,3943800,2006,Individual,1st owner,9500
Hero Passion PRO TR,6901650,2014,Individual,1st owner,9556
TVS Apache RTR 200 4V,18733050,2018,Individual,1st owner,9600
TVS Apache RTR 200 4V,18733050,2018,Individual,1st owner,9600
Royal Enfield Classic 350,18733050,2015,Individual,1st owner,9800
Kawasaki Ninja 300,59157000,2016,Individual,1st owner,9800
Hero Super Splendor,9859500,2017,Individual,1st owner,9999
Honda Navi,5521320,2016,Individual,2nd owner,10000
Hero Honda Splendor NXG,4140990,2009,Individual,1st owner,10000
Honda CB Shine SP,12225780,2019,Individual,1st owner,10000
Honda Activa 5G,10845450,2019,Individual,1st owner,10000
Hero Splendor iSmart,9859500,2017,Individual,2nd owner,10000
Honda Activa [2000-2015],6901650,2014,Individual,1st owner,10000
Honda Dream Yuga,6901650,2014,Individual,1st owner,10000
TVS Apache RTR 200 4V,16761150,2018,Individual,1st owner,10000
TVS Wego,8873550,2018,Individual,1st owner,10000
Yamaha FZ25,21690900,2019,Individual,1st owner,10000
Hero Honda CD100,2957850,1999,Dealer,2nd owner,10000
Bajaj Avenger Cruise 220,13803300,2016,Individual,1st owner,10000
Yamaha FZ S V 2.0,15775200,2019,Individual,1st owner,10000
Bajaj Pulsar 150,13408920,2019,Individual,1st owner,10000
Suzuki Intruder 150,14789250,2018,Individual,1st owner,10000
Honda Activa 5G,9070740,2018,Individual,1st owner,10000
Honda CB Unicorn 150,10845450,2014,Individual,1st owner,10000
Honda Livo,8873550,2018,Individual,1st owner,10000
Hero Xtreme 2014,9859500,2014,Individual,1st owner,10000
Royal Enfield Classic 350,25634700,1993,Individual,2nd owner,10000
Royal Enfield Thunderbird 350,23662800,2015,Individual,1st owner,10000
Yo Style,3943800,2011,Individual,1st owner,10000
Hero Splendor iSmart,7887600,2015,Individual,1st owner,10000
Bajaj Pulsar 220F,14789250,2016,Individual,1st owner,10500
Yamaha FZ S V 2.0,17747100,2018,Individual,1st owner,10500
Bajaj Avenger Cruise 220,14789250,2016,Individual,1st owner,10950
TVS XL 100 Heavy Duty,7887600,2019,Individual,1st owner,11000
Yamaha YZF R15 [2011-2018],12817350,2013,Individual,1st owner,11000
Honda Activa i [2016-2017],7887600,2017,Individual,1st owner,11000
Hero HF Deluxe i3s,10648260,2019,Individual,1st owner,11000
Yamaha Fazer 25,22676850,2018,Individual,1st owner,11000
Hero Honda Glamour,4140990,2010,Individual,1st owner,11000
Bajaj Pulsar NS160,15775200,2018,Individual,1st owner,11000
TVS Victor GLX,3549420,2005,Individual,1st owner,11000
Hero Karizma ZMR,14789250,2015,Individual,1st owner,11000
Honda Dio,11831400,2018,Individual,1st owner,11000
Royal Enfield Classic 350,23662800,2019,Individual,1st owner,11000
Honda CB Hornet 160R,14789250,2019,Individual,1st owner,11000
Honda Activa 5G,12225780,2019,Individual,1st owner,11200
Yamaha YZF R15 V3,23662800,2018,Individual,1st owner,11500
Royal Enfield Classic 500,18733050,2014,Individual,1st owner,11500
Honda CBR150 R,21690900,2017,Individual,1st owner,11800
TVS Apache RTR 160,12817350,2019,Individual,1st owner,11800
Royal Enfield Classic Gunmetal Grey,29578500,2018,Individual,1st owner,12000
Harley-Davidson Street Bob,147892500,2013,Individual,2nd owner,12000
TVS Flame,2957850,2010,Individual,1st owner,12000
KTM RC 390,41409900,2017,Individual,1st owner,12000
Royal Enfield Thunderbird 350,17747100,2014,Individual,1st owner,12000
Honda CB Unicorn 150,10845450,2017,Individual,1st owner,12000
Hero Xtreme 200R,16958340,2018,Individual,1st owner,12000
KTM 200 Duke,25634700,2016,Individual,1st owner,12000
Honda Livo,13606110,2018,Individual,1st owner,12000
Bajaj Discover 150,6901650,2015,Individual,1st owner,12000
Kawasaki Ninja 650 [2018-2019],59157000,2011,Individual,1st owner,12000
Bajaj Avenger Street 220,14789250,2018,Individual,1st owner,12000
Bajaj Discover 150F,5915700,2015,Individual,1st owner,12000
Bajaj Pulsar 150,6901650,2011,Individual,1st owner,12000
Honda Aviator,4929750,2012,Individual,2nd owner,12000
Honda CB Trigger,8281980,2015,Individual,1st owner,12000
Royal Enfield Continental GT [2013 - 2018],21690900,2014,Individual,1st owner,12077
Suzuki Gixxer SF,15775200,2018,Individual,1st owner,12500
Honda CB Twister,13803300,2014,Individual,1st owner,12566
Honda CB Unicorn 150,11831400,2017,Individual,1st owner,12652
TVS Apache RTR 160 4V,14789250,2019,Individual,1st owner,12657
Bajaj Dominar 400,24648750,2017,Individual,1st owner,12800
Royal Enfield Thunderbird 350,17747100,2015,Individual,3rd owner,13000
Yamaha Saluto,11831400,2018,Individual,1st owner,13000
Royal Enfield Bullet 350,17747100,2014,Individual,1st owner,13000
Hero HF Deluxe,7887600,2018,Individual,1st owner,13000
Yamaha YZF R15 S,16761150,2017,Individual,1st owner,13000
Honda Dio,5521320,2014,Individual,1st owner,13000
Yamaha Saluto,14592060,2019,Individual,1st owner,13000
Honda CB Hornet 160R,13803300,2017,Individual,1st owner,13000
Hero Honda Hunk,6901650,2010,Individual,1st owner,13000
Bajaj Pulsar NS 200,9859500,2014,Individual,1st owner,13000
KTM 390 Duke ABS [2013-2016],35494200,2015,Individual,2nd owner,13125
Honda CB Hornet 160R,11042640,2017,Individual,2nd owner,13200
Yamaha FZ V 2.0,6901650,2014,Individual,1st owner,13500
Mahindra Gusto,4929750,2016,Individual,1st owner,13500
Kawasaki Ninja 650 [2018-2019],83805750,2017,Individual,2nd owner,13600
Bajaj Pulsar 135 LS,7887600,2016,Individual,1st owner,13700
KTM RC 200,35494200,2019,Individual,2nd owner,13800
Honda CB Hornet 160R,10845450,2017,Individual,1st owner,14000
KTM 390 Duke,33522300,2017,Individual,1st owner,14000
Hero Pleasure,7887600,2014,Individual,1st owner,14000
Royal Enfield Himalayan,28592550,2017,Individual,1st owner,14000
Honda Activa 5G,9859500,2018,Individual,1st owner,14000
Bajaj CT 100,7887600,2018,Individual,1st owner,14000
Hero Maestro Edge,9070740,2015,Individual,1st owner,14000
TVS Jupiter,13803300,2018,Individual,1st owner,14000
Honda Activa 5G,10056690,2018,Individual,1st owner,14000
Bajaj Pulsar 135 LS,8873550,2014,Individual,1st owner,14000
Yamaha Alpha,4929750,2015,Individual,2nd owner,14000
TVS Star City Plus,9859500,2016,Individual,2nd owner,14000
Royal Enfield Classic Gunmetal Grey,27606600,2018,Individual,1st owner,14000
Royal Enfield Thunder 500,21690900,2017,Individual,1st owner,14000
Hero Splender iSmart,8873550,2018,Individual,1st owner,14000
Hero Splender iSmart,7887600,2017,Individual,1st owner,14000
Suzuki GS150R,5324130,2012,Individual,1st owner,14100
Bajaj Discover 100,4338180,2014,Individual,1st owner,14289
Royal Enfield Thunderbird 350,19719000,2015,Individual,1st owner,14500
Hero Honda Splendor Plus,2957850,2004,Individual,1st owner,14500
Suzuki Intruder 150 Fi,19719000,2018,Individual,1st owner,14500
Suzuki Access 125,13803300,2018,Individual,1st owner,14500
Yamaha FZ S V 2.0,11831400,2017,Individual,1st owner,14500
Bajaj Pulsar 150,6901650,2009,Individual,1st owner,14500
Bajaj Pulsar NS 200,8873550,2014,Individual,1st owner,14500
Hero Passion PRO i3s,10845450,2017,Individual,1st owner,14600
Honda Activa 125,7887600,2014,Individual,1st owner,14965
Royal Enfield Thunderbird 350X,31550400,2018,Individual,1st owner,15000
Bajaj Dominar 400,27212220,2017,Individual,1st owner,15000
Royal Enfield Classic Desert Storm,19719000,2012,Individual,1st owner,15000
Suzuki Gixxer SF,11831400,2016,Individual,1st owner,15000
Hero Maestro Edge,7887600,2017,Individual,1st owner,15000
Hero Xtreme 2014,6901650,2013,Individual,1st owner,15000
Suzuki Access 125,8873550,2017,Individual,1st owner,15000
Suzuki Gixxer [2014-2018],12225780,2017,Individual,1st owner,15000
Bajaj Platina 100,8873550,2019,Individual,1st owner,15000
Royal Enfield Thunderbird 350,16761150,2010,Individual,1st owner,15000
Bajaj Pulsar 135 LS,7887600,2018,Individual,1st owner,15000
Yamaha Saluto,7493220,2015,Individual,1st owner,15000
Yamaha Ray Z,14789250,2017,Individual,1st owner,15000
Royal Enfield Classic 350,26620650,2017,Individual,1st owner,15000
Bajaj Avenger [2015],6901650,2012,Individual,1st owner,15000
Hero Glamour 125,7887600,2016,Individual,1st owner,15000
Hero Passion PRO i3s,10845450,2018,Individual,1st owner,15000
Suzuki Access 125,7887600,2017,Individual,1st owner,15000
Honda Shine,3549420,2010,Individual,1st owner,15000
Hero Passion Pro 110,11831400,2013,Individual,1st owner,15000
Bajaj V15,13803300,2018,Individual,1st owner,15000
Honda CB Unicorn 160,8873550,2015,Individual,1st owner,15000
Hero Honda CD Deluxe,3943800,2005,Individual,1st owner,15000
Hero HF Deluxe,6901650,2018,Individual,1st owner,15000
Royal Enfield Thunder 350,24648750,2015,Individual,1st owner,15000
Honda CB Hornet 160R,11831400,2018,Individual,1st owner,15000
Hero Extreme,10845450,2016,Individual,1st owner,15000
TVS Sport ,9465120,2019,Individual,1st owner,15000
Bajaj Pulsar NS200,16761150,2018,Individual,2nd owner,15100
TVS Apache RTR 160 4V,15775200,2018,Individual,1st owner,15210
Yamaha Ray Z,6901650,2015,Individual,1st owner,15500
Yamaha Fazer [2009-2016],6901650,2011,Individual,1st owner,15500
Hero Passion X Pro [2016-2017],8281980,2016,Individual,1st owner,15500
Bajaj Pulsar AS200,12817350,2015,Individual,1st owner,15856
Honda CBF Stunner,6901650,2013,Individual,1st owner,15888
Honda CBR-250R,23662800,2016,Individual,1st owner,16000
Honda Dio,1478925,2009,Individual,2nd owner,16000
Suzuki Gixxer [2014-2018],11831400,2016,Individual,1st owner,16000
Bajaj Dominar 400 [2018],33522300,2018,Individual,1st owner,16000
Bajaj Pulsar 125,12817350,2019,Individual,1st owner,16000
Hero Splendor PRO,7887600,2016,Individual,1st owner,16000
Bajaj Platina 100,3352230,2007,Individual,1st owner,16000
Yamaha YZF R15 S,13803300,2017,Individual,1st owner,16000
TVS Apache RTR 160,13803300,2018,Individual,1st owner,16000
Bajaj Xcd,3943800,2009,Individual,1st owner,16000
Honda Grazia,11831400,2018,Individual,1st owner,16000
Hero HF Deluxe,7887600,2018,Individual,1st owner,16000
Bajaj Avenger [2015],11831400,2015,Individual,2nd owner,16000
Bajaj Pulsar 220 DTS-i,11831400,2014,Individual,1st owner,16000
Hero Extreme,12817350,2015,Individual,1st owner,16000
Honda CB Hornet 160R,11831400,2017,Individual,2nd owner,16008
Honda Shine,7296030,2014,Individual,1st owner,16145
Bajaj Platina 100,3943800,2012,Individual,1st owner,16295
Bajaj Platina 100,3943800,2012,Individual,1st owner,16295
Royal Enfield Classic Desert Storm,29578500,2017,Individual,1st owner,16500
Honda CB Hornet 160R,11831400,2017,Individual,1st owner,16500
KTM 250 Duke,26620650,2017,Individual,1st owner,16500
Yamaha RX135,12817350,1998,Individual,3rd owner,16500
Hyosung GT250R,26620650,2016,Individual,2nd owner,16500
